tag,t_s,J1,J2,J3,J4,J5,J6
step01_spd100,0.009,-50.850,-54.320,-22.090,-78.540,89.120,73.300
step01_spd100,0.050,-50.850,-54.320,-22.090,-78.540,89.120,73.300
step01_spd100,0.090,-50.850,-54.320,-22.090,-78.540,89.120,73.379
step01_spd100,0.129,-50.850,-54.320,-22.090,-78.540,89.120,73.379
step01_spd100,0.169,-50.850,-54.320,-22.090,-78.540,89.120,78.188
step01_spd100,0.210,-50.850,-54.320,-22.090,-78.540,89.120,78.188
step01_spd100,0.249,-50.850,-54.320,-22.090,-78.540,89.120,87.791
step01_spd100,0.289,-50.850,-54.320,-22.090,-78.540,89.120,87.791
step01_spd100,0.329,-50.850,-54.320,-22.090,-78.540,89.120,97.296
step01_spd100,0.369,-50.850,-54.320,-22.090,-78.540,89.120,97.296
step02_spd100,0.009,-50.850,-54.320,-22.090,-78.540,89.120,98.300
step02_spd100,0.049,-50.850,-54.320,-22.090,-78.540,89.120,98.300
step02_spd100,0.089,-50.850,-54.320,-22.090,-78.540,89.120,98.300
step02_spd100,0.129,-50.850,-54.320,-22.090,-78.540,89.120,98.379
step02_spd100,0.169,-50.850,-54.320,-22.090,-78.540,89.120,98.379
step02_spd100,0.209,-50.850,-54.320,-22.090,-78.540,89.120,103.668
step02_spd100,0.249,-50.850,-54.320,-22.090,-78.540,89.120,103.668
step02_spd100,0.289,-50.850,-54.320,-22.090,-78.540,89.120,103.668
step02_spd100,0.329,-50.850,-54.320,-22.090,-78.540,89.120,115.667
step02_spd100,0.369,-50.850,-54.320,-22.090,-78.540,89.120,123.046
step02_spd100,0.409,-50.850,-54.320,-22.090,-78.540,89.120,123.046
